2.046506255865097046e-01,2.294854968786239624e-01,3.886626362800598145e-01,7.827730774879455566e-01,2.729801237583160400e-01
2.107713967561721802e-01,2.267533391714096069e-01,3.825051188468933105e-01,7.778977155685424805e-01,2.568591535091400146e-01
2.120520174503326416e-01,2.293302416801452637e-01,3.863572180271148682e-01,7.796492576599121094e-01,2.575944662094116211e-01
2.077906876802444458e-01,2.337725460529327393e-01,3.930149972438812256e-01,7.841595411300659180e-01,2.509685456752777100e-01
1.632884591817855835e-01,1.349581629037857056e-01,3.452189564704895020e-01,9.522510170936584473e-01,3.026201128959655762e-01
1.636659950017929077e-01,1.303096264600753784e-01,3.411060869693756104e-01,9.658648967742919922e-01,3.071345090866088867e-01
1.660556942224502563e-01,1.225030198693275452e-01,3.092515468597412109e-01,9.939108490943908691e-01,3.058233857154846191e-01
1.695254594087600708e-01,1.272169947624206543e-01,3.232065141201019287e-01,9.729628562927246094e-01,3.087249100208282471e-01
1.984544843435287476e-01,1.821552962064743042e-01,3.835410773754119873e-01,7.767376303672790527e-01,2.557382285594940186e-01
2.006592899560928345e-01,1.859723478555679321e-01,3.784503340721130371e-01,7.787879705429077148e-01,2.507928609848022461e-01
1.947819590568542480e-01,1.907521784305572510e-01,3.850403428077697754e-01,8.101590275764465332e-01,2.584237158298492432e-01
1.919920295476913452e-01,1.901126354932785034e-01,3.820329606533050537e-01,7.887440919876098633e-01,2.704893648624420166e-01
1.733954846858978271e-01,1.310964077711105347e-01,2.952386736869812012e-01,8.473179936408996582e-01,2.955530881881713867e-01
1.804650425910949707e-01,1.396108865737915039e-01,3.019068539142608643e-01,8.468223810195922852e-01,3.049960434436798096e-01
1.853740364313125610e-01,1.293663233518600464e-01,3.082589209079742432e-01,8.365923166275024414e-01,2.955010831356048584e-01
1.798258274793624878e-01,1.330838501453399658e-01,2.982878684997558594e-01,8.482658863067626953e-01,2.948272526264190674e-01
1.769828498363494873e-01,1.366536170244216919e-01,4.080193936824798584e-01,8.395053148269653320e-01,3.935226798057556152e-01
1.751272380352020264e-01,1.229664087295532227e-01,3.762928545475006104e-01,8.511610627174377441e-01,3.932232260704040527e-01
1.719241291284561157e-01,1.227136328816413879e-01,3.781709671020507812e-01,8.575906753540039062e-01,3.962569236755371094e-01
1.738421320915222168e-01,1.363589614629745483e-01,3.948639333248138428e-01,8.284079432487487793e-01,3.896660208702087402e-01
2.391916960477828979e-01,1.996791958808898926e-01,3.383607268333435059e-01,7.601810693740844727e-01,2.171148657798767090e-01
2.352473735809326172e-01,1.940412223339080811e-01,3.349808752536773682e-01,7.671345472335815430e-01,2.315207719802856445e-01
2.427036166191101074e-01,2.088306099176406860e-01,3.381352722644805908e-01,7.617381811141967773e-01,2.132096290588378906e-01
2.426842451095581055e-01,2.082156538963317871e-01,3.434689939022064209e-01,7.656345963478088379e-01,2.055369317531585693e-01
2.195550948381423950e-01,1.577576100826263428e-01,3.522628247737884521e-01,7.969374656677246094e-01,2.521420419216156006e-01
1.997129023075103760e-01,1.558112353086471558e-01,3.465063869953155518e-01,8.086786270141601562e-01,2.608961462974548340e-01
2.094427198171615601e-01,1.605993807315826416e-01,3.448775112628936768e-01,7.852883338928222656e-01,2.559139430522918701e-01
