4.170610904693603516e-01,7.783985733985900879e-01,4.297662079334259033e-01
4.111188352108001709e-01,7.765816450119018555e-01,4.406226873397827148e-01
4.163613319396972656e-01,7.760275602340698242e-01,4.365967810153961182e-01
4.136166870594024658e-01,7.745488882064819336e-01,4.530760645866394043e-01
2.380030900239944458e-01,6.972031593322753906e-01,1.220311000943183899e-01
2.337805628776550293e-01,6.861914396286010742e-01,1.225635781884193420e-01
2.262387424707412720e-01,6.668846607208251953e-01,1.154302209615707397e-01
2.321619689464569092e-01,6.752974987030029297e-01,1.191591471433639526e-01
4.281991720199584961e-01,7.253118753433227539e-01,3.602636158466339111e-01
4.188616275787353516e-01,7.170815467834472656e-01,3.710885345935821533e-01
4.154835641384124756e-01,7.435771822929382324e-01,3.528526127338409424e-01
4.174413383007049561e-01,7.415372729301452637e-01,3.474011719226837158e-01
3.852946758270263672e-01,6.493344902992248535e-01,1.764312237501144409e-01
3.718272447586059570e-01,6.636810898780822754e-01,1.763699203729629517e-01
3.784042000770568848e-01,6.508893370628356934e-01,1.870027780532836914e-01
3.778046369552612305e-01,6.392306685447692871e-01,1.827086359262466431e-01
4.176751077175140381e-01,8.636568784713745117e-01,1.374414414167404175e-01
4.170546233654022217e-01,8.368625044822692871e-01,1.054613441228866577e-01
4.207282364368438721e-01,8.350675106048583984e-01,9.788578003644943237e-02
4.194496572017669678e-01,8.517373800277709961e-01,1.300589889287948608e-01
4.056082665920257568e-01,6.055431365966796875e-01,4.680724740028381348e-01
4.227362275123596191e-01,6.147037148475646973e-01,4.382903873920440674e-01
3.994822204113006592e-01,6.230732202529907227e-01,4.843442440032958984e-01
3.952106535434722900e-01,6.092944741249084473e-01,4.836687147617340088e-01
4.096644222736358643e-01,6.474198102951049805e-01,3.271223008632659912e-01
4.059162437915802002e-01,6.580854058265686035e-01,2.851344943046569824e-01
4.197812378406524658e-01,6.475481390953063965e-01,3.206376433372497559e-01
4.056022763252258301e-01,6.662527918815612793e-01,2.841092646121978760e-01
4.154831767082214355e-01,7.437743544578552246e-01,2.466705143451690674e-01
4.182701408863067627e-01,7.425450086593627930e-01,2.500988841056823730e-01
4.360552728176116943e-01,7.249590754508972168e-01,2.539872527122497559e-01
4.121241569519042969e-01,7.471219301223754883e-01,2.488543242216110229e-01
3.635990619659423828e-01,6.131532788276672363e-01,1.866052150726318359e-01
3.711175024509429932e-01,6.182670593261718750e-01,1.356332153081893921e-01
3.783793747425079346e-01,6.022318601608276367e-01,1.755350381135940552e-01
3.794316351413726807e-01,6.143957972526550293e-01,1.431541740894317627e-01
2.237907499074935913e-01,6.914786100387573242e-01,1.732020229101181030e-01
2.156311273574829102e-01,6.845587491989135742e-01,1.556984782218933105e-01
2.164180278778076172e-01,6.860380172729492188e-01,1.452097147703170776e-01
2.356481105089187622e-01,6.941766142845153809e-01,1.933509856462478638e-01
4.341598749160766602e-01,6.322137713432312012e-01,3.773720860481262207e-01
4.147287011146545410e-01,6.388528943061828613e-01,3.469309508800506592e-01
4.147722125053405762e-01,6.418249607086181641e-01,3.600752651691436768e-01
4.211454987525939941e-01,6.571579575538635254e-01,3.661256134510040283e-01
